Recordset,Label,Score,Month,Label,Dollars,Percent,,,,,,,,,,,
6,Product,+,May,Joe Rocket Atomic Textile Motorcycle Pants,$58 ,,,,,,,,,,,,
6,Product,-,June,HJC RPHA-Max Align Full Face Motorcycle Helmet,$297 ,,,,,,,,,,,,
6,Product,-,June,Scorpion EXO Women's Jazmin Motorcycle Jacket,$207 ,,,,,,,,,,,,
6,Product,0,June,Joe Rocket Big Bang 2.0 Boots,$146 ,,,,,,,,,,,,
6,Product,-,June,Icon Citadel Mesh Pants 2014,$294 ,,,,,,,,,,,,
6,Product,0,June,Alpinestars S-MX 1 Motorcycle Boots,$129 ,,,,,,,,,,,,
6,Product,-,June,Joe Rocket Phoenix Ion Mesh Jacket,$216 ,,,,,,,,,,,,
6,Product,+,June,"BikeBandit.com Premium 1.5"" Soft Loop Tie Downs",$38 ,,,,,,,,,,,,
6,Product,-,June,Gaerne GX-1 Boots,$218 ,,,,,,,,,,,,
6,Product,-,June,Gaerne GX-1 Boots,$207 ,,,,,,,,,,,,
6,Product,-,June,THH T-70 Ultra Lite Half Helmet,$219 ,,,,,,,,,,,,
6,Product,+,June,Nolan N-Com B5 Bluetooth Communication System,$78 ,,,,,,,,,,,,
6,Product,0,June,Fly Women's Georgia II Motorcycle Jacket,$125 ,,,,,,,,,,,,
6,Product,0,June,Gaerne GX-1 Boots,$198 ,,,,,,,,,,,,
6,Product,0,June,Honda Wing Long Sleeve Shirt,$133 ,,,,,,,,,,,,
6,Product,-,June,HJC RPHA-X Air Raid Off-Road Motorcycle Helmet,$237 ,,,,,,,,,,,,
6,Product,+,June,White,$20 ,,,,,,,,,,,,
6,Product,0,June,Scorpion EXO VX-34 Victory Full Face Motorcycle Helmet,$185 ,,,,,,,,,,,,
6,Product,+,June,Fly Racing Maverick Boots,$49 ,,,,,,,,,,,,
6,Product,+,June,Klim Inferno Pants,$86 ,,,,,,,,,,,,
6,Product,-,June,Fly Kinetic Race Gloves 2015,$262 ,,,,,,,,,,,,
6,Product,-,June,HJC RPHA-Max Align Full Face Motorcycle Helmet,$236 ,,,,,,,,,,,,
6,Product,+,June,Cortech GX Sport 3 Motorcycle Jacket,$26 ,,,,,,,,,,,,
6,Product,+,June,Joe Rocket Big Bang 2.0 Boots,$60 ,,,,,,,,,,,,
6,Product,-,June,Joe Rocket Atomic Textile Motorcycle Pants,$274 ,,,,,,,,,,,,
6,Product,+,July,HJC RPHA-Max Align Full Face Motorcycle Helmet,$78 ,,,,,,,,,,,,
6,Product,0,July,Scorpion EXO Women's Jazmin Motorcycle Jacket,$152 ,,,,,,,,,,,,
6,Product,-,July,Joe Rocket Big Bang 2.0 Boots,$221 ,,,,,,,,,,,,
6,Product,+,July,Icon Citadel Mesh Pants 2014,$88 ,,,,,,,,,,,,
6,Product,0,July,Alpinestars S-MX 1 Motorcycle Boots,$167 ,,,,,,,,,,,,
6,Product,+,July,Joe Rocket Phoenix Ion Mesh Jacket,$53 ,,,,,,,,,,,,
6,Product,0,July,"BikeBandit.com Premium 1.5"" Soft Loop Tie Downs",$183 ,,,,,,,,,,,,
6,Product,-,July,Gaerne GX-1 Boots,$274 ,,,,,,,,,,,,
6,Product,-,July,Gaerne GX-1 Boots,$282 ,,,,,,,,,,,,
6,Product,+,July,THH T-70 Ultra Lite Half Helmet,$23 ,,,,,,,,,,,,
6,Product,0,July,Nolan N-Com B5 Bluetooth Communication System,$150 ,,,,,,,,,,,,
6,Product,+,July,Fly Women's Georgia II Motorcycle Jacket,$37 ,,,,,,,,,,,,
6,Product,+,July,Gaerne GX-1 Boots,$40 ,,,,,,,,,,,,
6,Product,-,July,Honda Wing Long Sleeve Shirt,$206 ,,,,,,,,,,,,
6,Product,+,July,HJC RPHA-X Air Raid Off-Road Motorcycle Helmet,$44 ,,,,,,,,,,,,
6,Product,+,July,White,$90 ,,,,,,,,,,,,
6,Product,-,July,Scorpion EXO VX-34 Victory Full Face Motorcycle Helmet,$298 ,,,,,,,,,,,,
6,Product,+,July,Fly Racing Maverick Boots,$14 ,,,,,,,,,,,,
6,Product,0,July,Klim Inferno Pants,$115 ,,,,,,,,,,,,
6,Product,0,July,Fly Kinetic Race Gloves 2015,$127 ,,,,,,,,,,,,
6,Product,0,July,HJC RPHA-Max Align Full Face Motorcycle Helmet,$167 ,,,,,,,,,,,,
6,Product,0,July,Cortech GX Sport 3 Motorcycle Jacket,$146 ,,,,,,,,,,,,
6,Product,-,July,Joe Rocket Big Bang 2.0 Boots,$203 ,,,,,,,,,,,,
6,Product,0,July,Joe Rocket Atomic Textile Motorcycle Pants,$171 ,,,,,,,,,,,,
6,Product,-,August,HJC RPHA-Max Align Full Face Motorcycle Helmet,$225 ,,,,,,,,,,,,
6,Product,-,August,Scorpion EXO Women's Jazmin Motorcycle Jacket,$221 ,,,,,,,,,,,,
6,Product,0,August,Joe Rocket Big Bang 2.0 Boots,$179 ,,,,,,,,,,,,
6,Product,0,August,Icon Citadel Mesh Pants 2014,$137 ,,,,,,,,,,,,
6,Product,+,August,Alpinestars S-MX 1 Motorcycle Boots,$17 ,,,,,,,,,,,,
6,Product,+,August,Joe Rocket Phoenix Ion Mesh Jacket,$8 ,,,,,,,,,,,,
6,Product,0,August,"BikeBandit.com Premium 1.5"" Soft Loop Tie Downs",$188 ,,,,,,,,,,,,
6,Product,+,August,Gaerne GX-1 Boots,$80 ,,,,,,,,,,,,
6,Product,0,August,Gaerne GX-1 Boots,$140 ,,,,,,,,,,,,
6,Product,+,August,THH T-70 Ultra Lite Half Helmet,$16 ,,,,,,,,,,,,
6,Product,0,August,Nolan N-Com B5 Bluetooth Communication System,$193 ,,,,,,,,,,,,
6,Product,+,August,Fly Women's Georgia II Motorcycle Jacket,$65 ,,,,,,,,,,,,
6,Product,0,August,Gaerne GX-1 Boots,$133 ,,,,,,,,,,,,
6,Product,-,August,Honda Wing Long Sleeve Shirt,$100 ,,,,,,,,,,,,
6,Product,0,August,HJC RPHA-X Air Raid Off-Road Motorcycle Helmet,$122 ,,,,,,,,,,,,
6,Product,-,August,White,$207 ,,,,,,,,,,,,
6,Product,+,August,Scorpion EXO VX-34 Victory Full Face Motorcycle Helmet,$3 ,,,,,,,,,,,,
6,Product,0,August,Fly Racing Maverick Boots,$107 ,,,,,,,,,,,,
6,Product,-,August,Klim Inferno Pants,$264 ,,,,,,,,,,,,
6,Product,+,August,Fly Kinetic Race Gloves 2015,$21 ,,,,,,,,,,,,
6,Product,-,August,HJC RPHA-Max Align Full Face Motorcycle Helmet,$276 ,,,,,,,,,,,,
6,Product,0,August,Cortech GX Sport 3 Motorcycle Jacket,$166 ,,,,,,,,,,,,
6,Product,-,August,Joe Rocket Big Bang 2.0 Boots,$235 ,,,,,,,,,,,,
6,Product,0,August,Joe Rocket Atomic Textile Motorcycle Pants,$177 ,,,,,,,,,,,,
6,Product,0,September,HJC RPHA-Max Align Full Face Motorcycle Helmet,$148 ,,,,,,,,,,,,
6,Product,-,September,Scorpion EXO Women's Jazmin Motorcycle Jacket,$295 ,,,,,,,,,,,,
6,Product,0,September,Joe Rocket Big Bang 2.0 Boots,$166 ,,,,,,,,,,,,
6,Product,-,September,Icon Citadel Mesh Pants 2014,$279 ,,,,,,,,,,,,
6,Product,+,September,Alpinestars S-MX 1 Motorcycle Boots,$93 ,,,,,,,,,,,,
6,Product,-,September,Joe Rocket Phoenix Ion Mesh Jacket,$224 ,,,,R,,,,,,,,
6,Product,-,September,"BikeBandit.com Premium 1.5"" Soft Loop Tie Downs",$288 ,,,,,,,,,,,,
6,Product,+,September,Gaerne GX-1 Boots,$90 ,,,,,,,,,,,,
6,Product,-,September,Gaerne GX-1 Boots,$283 ,,,,,,,,,,,,
6,Product,+,September,THH T-70 Ultra Lite Half Helmet,$44 ,,,,,,,,,,,,
6,Product,+,September,Nolan N-Com B5 Bluetooth Communication System,$12 ,,,,,,,,,,,,
6,Product,+,September,Fly Women's Georgia II Motorcycle Jacket,$60 ,,,,,,,,,,,,
6,Product,-,September,Gaerne GX-1 Boots,$258 ,,,,,,,,,,,,
6,Product,-,September,Honda Wing Long Sleeve Shirt,$248 ,,,,,,,,,,,,
6,Product,0,September,HJC RPHA-X Air Raid Off-Road Motorcycle Helmet,$197 ,,,,,,,,,,,,
6,Product,+,September,White,$86 ,,,,,,,,,,,,
6,Product,-,September,Scorpion EXO VX-34 Victory Full Face Motorcycle Helmet,$282 ,,,,,,,,,,,,
6,Product,0,September,Fly Racing Maverick Boots,$184 ,,,,,,,,,,,,
6,Product,0,September,Klim Inferno Pants,$171 ,,,,,,,,,,,,
6,Product,+,September,Fly Kinetic Race Gloves 2015,$29 ,,,,,,,,,,,,
6,Product,0,September,HJC RPHA-Max Align Full Face Motorcycle Helmet,$191 ,,,,,,,,,,,,
6,Product,0,September,Cortech GX Sport 3 Motorcycle Jacket,$199 ,,,,,,,,,,,,
6,Product,+,September,Joe Rocket Big Bang 2.0 Boots,$30 ,,,,,,,,,,,,
6,Product,0,September,Joe Rocket Atomic Textile Motorcycle Pants,$144 ,,,,,,,,,,,,
